,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978963.535,,-72.16299986839294,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D99208>,,0.0,,,1527978963.535,Foot,,,,561084.3125,128821.5,25678.5
1527978973.564,,-62.134000062942505,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DBE6D8>,,0.0,,,1527978973.564,Foot,,,,561084.3125,128821.5,25678.5
1527978983.562,,-52.13599991798401,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DF3CC0>,,0.0,,,1527978983.562,Foot,,,,561084.3125,128821.5,25678.5
1527978993.517,,-42.180999994277954,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AAA58>,,0.0,,,1527978993.517,Foot,,,,561084.3125,128821.5,25678.5
1527979003.534,,-32.164000034332275,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942DFD0>,,0.0,,,1527979003.534,Foot,,,,561084.3125,128821.5,25678.5
1527979013.551,,-22.146999835968018,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094365C0>,,0.0,,,1527979013.551,Foot,,,,561084.3125,128821.5,25678.5
1527979023.584,,-12.113999843597412,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943BB00>,,0.0,,,1527979023.584,Foot,,,,561084.3125,128821.5,25678.5
1527979033.542,,-2.1559998989105225,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943FFD0>,,0.0,,,1527979033.542,Foot,,,,561084.3125,128821.5,25678.5
1527979035.751,,0.05299997329711914,1,,,,,<itemEquip.itemEquip object at 0x00000160088DB278>,,,,,,,0.0,,,1527979035.751,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7510998,,0.053099870681762695,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B56BA8>,,,,,,0.0,,,1527979035.7510998,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7512,,0.05320000648498535,1,,,,,,,,,,,,0.0,,,1527979035.7512,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343CC0>,932243.625,638286.0625,150088.0
1527979044.069,,8.371000051498413,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A4E0>,,0.0,,,1527979044.069,DummyTransportAircraft_C,,,,836925.625,590136.25,150088.0
1527979054.095,,18.397000074386597,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F9B0>,,0.0,,,1527979054.095,DummyTransportAircraft_C,,,,707133.125,524571.6875,150088.0
