,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978962.362,,-73.33599996566772,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D99588>,,0.0,,,1527978962.362,Foot,,,,562712.4375,128773.296875,25676.900390625
1527978972.36,,-63.33800005912781,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DBACF8>,,0.0,,,1527978972.36,Foot,,,,563412.75,127125.328125,25770.689453125
1527978982.385,,-53.312999963760376,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DE0550>,,0.0,,,1527978982.385,Foot,,,,566893.75,127312.8671875,25678.439453125
1527978992.38,,-43.317999839782715,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AA748>,,0.0,,,1527978992.38,Foot,,,,567709.6875,127164.5859375,25957.0
1527979002.426,,-33.27199983596802,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942DCC0>,,0.0,,,1527979002.426,Foot,,,,568290.5625,127046.8046875,26046.9296875
1527979012.368,,-23.329999923706055,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094362E8>,,0.0,,,1527979012.368,Foot,,,,568308.0625,126091.4296875,25943.21875
1527979022.374,,-13.323999881744385,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B828>,,0.0,,,1527979022.374,Foot,,,,567165.5,128566.5,25866.009765625
1527979032.39,,-3.307999849319458,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943FCF8>,,0.0,,,1527979032.39,Foot,,,,567013.125,130017.546875,25755.150390625
1527979032.433,,-3.2649998664855957,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F56CF8>,,,,0.0,,,1527979032.433,Foot,,,,567012.0625,130015.359375,25735.298828125
1527979034.651,,-1.0469999313354492,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F56160>,,,,0.0,,,1527979034.651,Foot,,,,567009.5625,130015.4765625,25734.939453125
1527979035.42,,-0.2779998779296875,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F5A3C8>,,,,0.0,,,1527979035.42,Foot,,,,567009.5625,130015.4765625,25734.939453125
1527979035.838,,0.1400001049041748,1,,,,,<itemEquip.itemEquip object at 0x0000016008855978>,,,,,,,0.0,,,1527979035.838,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8381,,0.14010000228881836,1,,,,,,,,,,,,0.0,,,1527979035.8381,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x00000160092761D0>,932243.625,638286.0625,150088.0
1527979035.839,,0.14100003242492676,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B590F0>,,,,,,0.0,,,1527979035.839,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979042.897,,7.199000120162964,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A208>,,0.0,,,1527979042.897,DummyTransportAircraft_C,,,,854282.625,598904.0625,150088.015625
1527979052.89,,17.192000150680542,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F6D8>,,0.0,,,1527979052.89,DummyTransportAircraft_C,,,,723046.0625,532610.0625,150088.0
1527979062.887,,27.189000129699707,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452BA8>,,0.0,,,1527979062.887,DummyTransportAircraft_C,,,,594947.6875,467901.25,150088.0
1527979072.92,,37.22200012207031,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459080>,,0.0,,,1527979072.92,DummyTransportAircraft_C,,,,466427.53125,402979.375,150088.0
1527979082.927,,47.229000091552734,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461588>,,0.0,,,1527979082.927,DummyTransportAircraft_C,,,,336891.4375,337544.25,150088.0
1527979085.066,,49.36800003051758,1,,,,,,,,,,,,0.0,,,1527979085.066,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097F8358>,,309510.34375,323712.75,150088.0
1527979085.07,,49.371999979019165,1,,,,,,,,,,,,0.0,,,1527979085.07,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600969DA90>,308451.5625,322788.59375,150015.78125
1527979092.909,,57.210999965667725,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466A58>,,0.0,,,1527979092.909,ParachutePlayer_C,,,,292012.46875,323993.46875,117070.5234375
1527979102.902,,67.2039999961853,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946BF60>,,0.0,,,1527979102.902,ParachutePlayer_C,,,,290640.875,339210.125,64047.22265625
1527979112.939,,77.2409999370575,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009473438>,,0.0,,,1527979112.939,ParachutePlayer_C,,,,292865.1875,340632.5625,15473.6513671875
1527979121.777,,86.0789999961853,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A430F0>,,,,,0.0,,,1527979121.777,ParachutePlayer_C,,,,290725.15625,346195.6875,2527.060546875
1527979121.7770998,,86.07909989356995,0,,,,,,,,,,,,0.0,,,1527979121.7770998,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092B5908>,,290725.15625,346195.6875,2527.060546875
1527979122.943,,87.24500012397766,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B940>,,0.0,,,1527979122.943,Foot,,,,290392.03125,346015.84375,2375.31005859375
1527979132.963,,97.26500010490417,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947FDD8>,,0.0,,,1527979132.963,Foot,,,,290849.875,345163.625,2430.14990234375
1527979135.313,,99.61500000953674,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B879E8>,,,,,,0.0,,,1527979135.313,Foot,,,,290983.625,344832.71875,2430.14990234375
1527979135.759,,100.06100010871887,0,,,,,<itemEquip.itemEquip object at 0x00000160088F5D68>,,,,,,,0.0,,,1527979135.759,Foot,,,,290983.625,344832.71875,2430.14990234375
1527979135.76,,100.06200003623962,0,Item_Weapon_Winchester_C,,,,,<itemPickup.itemPickup object at 0x0000016008B87AC8>,,,,,,0.0,,,1527979135.76,Foot,,,,290983.625,344832.71875,2430.14990234375
1527979142.415,,106.7170000076294,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B95908>,,,,,,0.0,,,1527979142.415,Foot,,,,290935.28125,345103.84375,2780.14990234375
1527979142.953,,107.25500011444092,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009488278>,,0.0,,,1527979142.953,Foot,,,,290935.28125,345103.84375,2780.14990234375
1527979143.159,,107.46099996566772,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B95EB8>,,,,,,0.0,,,1527979143.159,Foot,,,,290935.28125,345103.84375,2780.14990234375
1527979143.693,,107.99500012397766,0,Item_Boost_AdrenalineSyringe_C,,,,,<itemPickup.itemPickup object at 0x0000016008B99208>,,,,,,0.0,,,1527979143.693,Foot,,,,290935.28125,345103.84375,2780.14990234375
1527979152.915,,117.2170000076294,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948E5F8>,,0.0,,,1527979152.915,Foot,,,,290000.75,345150.875,2780.14990234375
1527979162.912,,127.21399998664856,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009493860>,,0.0,,,1527979162.912,Foot,,,,290129.8125,345949.28125,2375.31005859375
1527979172.928,,137.2300000190735,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009496A90>,,0.0,,,1527979172.928,Foot,,,,290205.15625,347065.9375,2435.14990234375
1527979173.183,,137.4850001335144,0,,,,,<itemEquip.itemEquip object at 0x0000016008906EB8>,,,,,,,0.0,,,1527979173.183,Foot,,,,290205.15625,347065.9375,2435.14990234375
1527979173.1831,,137.48510003089905,0,Item_Head_F_02_Lv2_C,,,,,<itemPickup.itemPickup object at 0x0000016008BC06D8>,,,,,,0.0,,,1527979173.1831,Foot,,,,290205.15625,347065.9375,2435.14990234375
1527979182.932,,147.23399996757507,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600949DCC0>,,0.0,,,1527979182.932,Foot,,,,290006.09375,348005.625,2566.050048828125
1527979192.915,,157.2170000076294,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A1DD8>,,0.0,,,1527979192.915,Foot,,,,290440.28125,347490.0,2785.14990234375
1527979198.384,,162.68600010871887,0,,,,<itemDrop.itemDrop object at 0x000001600881DDD8>,,,,,,,,0.0,,,1527979198.384,Foot,,,,290556.0,347845.78125,2785.14990234375
1527979199.757,,164.0590000152588,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008BDDBA8>,,,,,,0.0,,,1527979199.757,Foot,,,,290556.0,347845.78125,2785.14990234375
1527979202.929,,167.23099994659424,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A6EB8>,,0.0,,,1527979202.929,Foot,,,,290445.09375,347049.0625,2785.14990234375
1527979210.257,,174.5590000152588,0,Item_Ammo_762mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BEB9E8>,,,,,,0.0,,,1527979210.257,Foot,,,,290282.625,347109.03125,2785.14990234375
1527979212.346,,176.64800000190735,0,,,,,<itemEquip.itemEquip object at 0x0000016008913128>,,,,,,,0.0,,,1527979212.346,Foot,,,,290282.625,347109.03125,2785.14990234375
1527979212.3460999,,176.648099899292,0,Item_Weapon_NagantM1895_C,,,,,<itemPickup.itemPickup object at 0x0000016008BF0208>,,,,,,0.0,,,1527979212.3460999,Foot,,,,290282.625,347109.03125,2785.14990234375
1527979212.919,,177.22099995613098,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094AAF60>,,0.0,,,1527979212.919,Foot,,,,290282.625,347109.03125,2785.14990234375
1527979222.897,,187.19900012016296,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B0F60>,,0.0,,,1527979222.897,Foot,,,,290353.96875,347897.5625,2435.14990234375
1527979228.273,,192.57500004768372,0,Item_Attach_Weapon_Magazine_QuickDraw_Large_C,,,,,<itemPickup.itemPickup object at 0x0000016008C02358>,,,,,,0.0,,,1527979228.273,Foot,,,,290232.59375,347050.84375,2435.14990234375
1527979230.387,,194.6890001296997,0,,,,,<itemEquip.itemEquip object at 0x000001600891D1D0>,,,,,,,0.0,,,1527979230.387,Foot,,,,290232.59375,347050.84375,2435.14990234375
1527979230.3871,,194.68910002708435,0,Item_Weapon_Grenade_C,,,,,<itemPickup.itemPickup object at 0x0000016008C02C18>,,,,,,0.0,,,1527979230.3871,Foot,,,,290232.59375,347050.84375,2435.14990234375
1527979232.891,,197.1930000782013,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B5E80>,,0.0,,,1527979232.891,Foot,,,,290232.59375,347050.84375,2435.14990234375
1527979234.484,,198.78600001335144,0,Item_Attach_Weapon_Lower_Foregrip_C,,,,,<itemPickup.itemPickup object at 0x0000016008C07F28>,,,,,,0.0,,,1527979234.484,Foot,,,,290232.59375,347050.84375,2435.14990234375
1527979242.89,,207.19200015068054,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B8DA0>,,0.0,,,1527979242.89,Foot,,,,290343.46875,345415.1875,2430.14990234375
1527979248.916,,213.21799993515015,0,,,,<itemDrop.itemDrop object at 0x00000160088258D0>,,,,,,,,0.0,,,1527979248.916,Foot,,,,290780.625,345328.1875,2780.14990234375
1527979252.937,,217.239000082016,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094BFC50>,,0.0,,,1527979252.937,Foot,,,,290310.53125,345114.40625,2780.14990234375
1527979262.943,,227.24500012397766,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094C3AC8>,,0.0,,,1527979262.943,Foot,,,,291083.6875,345572.59375,2605.699951171875
1527979272.902,,237.2039999961853,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094C8908>,,0.0,,,1527979272.902,Foot,,,,290381.78125,344759.90625,2430.14990234375
1527979282.903,,247.20500016212463,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094CC748>,,0.0,,,1527979282.903,Foot,,,,289978.0625,345404.0625,2430.14990234375
1527979292.942,,257.24399995803833,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094D3550>,,0.0,,,1527979292.942,Foot,,,,290099.0625,345146.71875,2430.14990234375
1527979302.886,,267.1879999637604,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094D72E8>,,0.0,,,1527979302.886,Foot,,,,290156.28125,345156.3125,2430.14990234375
1527979312.888,,277.19000005722046,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094D7048>,,0.0,,,1527979312.888,Foot,,,,290139.65625,345164.15625,2430.14990234375
1527979322.9,,287.2020001411438,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094DADA0>,,0.0,,,1527979322.9,Foot,,,,290139.65625,345164.15625,2430.14990234375
1527979332.898,,297.2000000476837,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094E1B00>,,0.0,,,1527979332.898,Foot,,,,290127.71875,345146.71875,2430.14990234375
1527979342.899,,307.20099997520447,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094E5828>,,0.0,,,1527979342.899,Foot,,,,290127.71875,345146.71875,2430.14990234375
1527979352.913,,317.2150001525879,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094EA518>,,0.0,,,1527979352.913,Foot,,,,290127.71875,345146.71875,2430.14990234375
1527979362.906,,327.2079999446869,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094EE208>,,0.0,,,1527979362.906,Foot,,,,288574.3125,346526.78125,2375.31005859375
1527979372.909,,337.2109999656677,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094EEEB8>,,0.0,,,1527979372.909,Foot,,,,282727.59375,348993.78125,2372.83984375
1527979382.911,,347.2130000591278,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094F5B00>,,0.0,,,1527979382.911,Foot,,,,276751.53125,350965.78125,1482.199951171875
1527979392.892,,357.19400000572205,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094F97B8>,,0.0,,,1527979392.892,Foot,,,,270804.15625,352762.03125,329.53997802734375
1527979402.904,,367.2060000896454,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094FD438>,,0.0,,,1527979402.904,Foot,,,,264867.8125,354713.125,95.3699951171875
1527979412.932,,377.2339999675751,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094FD198>,,0.0,,,1527979412.932,Foot,,,,258772.71875,356698.1875,102.08999633789062
1527979422.901,,387.20300006866455,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009503C88>,,0.0,,,1527979422.901,Foot,,,,252584.828125,357802.5625,793.0899658203125
1527979432.887,,397.1890001296997,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160095078D0>,,0.0,,,1527979432.887,Foot,,,,247416.109375,360632.875,832.5599975585938
1527979436.447,,400.74900007247925,0,,,,,<itemEquip.itemEquip object at 0x0000016008935F98>,,,,,,,0.0,,,1527979436.447,Foot,,,,247272.171875,361069.90625,846.3399658203125
1527979436.448,,400.75,0,Item_Back_E_02_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008C820F0>,,,,,,0.0,,,1527979436.448,Foot,,,,247272.171875,361069.90625,846.3399658203125
1527979437.225,,401.52699995040894,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008C87278>,,,,,,0.0,,,1527979437.225,Foot,,,,247272.171875,361069.90625,846.3399658203125
1527979442.913,,407.2150001525879,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600950C4A8>,,0.0,,,1527979442.913,Foot,,,,247662.234375,361274.34375,846.3399658203125
1527979448.235,,412.5369999408722,0,Item_Weapon_SmokeBomb_C,,,,,<itemPickup.itemPickup object at 0x0000016008C87D68>,,,,,,0.0,,,1527979448.235,Foot,,,,247585.75,361922.28125,846.3399658203125
1527979449.619,,413.9210000038147,0,Item_Ammo_762mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008C87E48>,,,,,,0.0,,,1527979449.619,Foot,,,,247585.75,361922.28125,846.3399658203125
1527979452.907,,417.2090001106262,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600950C198>,,0.0,,,1527979452.907,Foot,,,,247703.3125,361719.5625,846.3399658203125
1527979462.893,,427.1949999332428,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009510B70>,,0.0,,,1527979462.893,Foot,,,,247087.171875,362288.59375,846.3399658203125
1527979472.9,,437.2020001411438,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009517630>,,0.0,,,1527979472.9,Foot,,,,245655.15625,361312.0625,832.239990234375
1527979482.889,,447.1909999847412,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009517128>,,0.0,,,1527979482.889,Foot,,,,243410.921875,359504.78125,1534.1500244140625
1527979485.95,,450.2520000934601,0,,,,,<itemEquip.itemEquip object at 0x000001600893B978>,,,,,,,0.0,,,1527979485.95,Foot,,,,243231.890625,359948.34375,1534.1500244140625
1527979485.9501,,450.2520999908447,0,Item_Armor_E_01_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008C934A8>,,,,,,0.0,,,1527979485.9501,Foot,,,,243231.890625,359948.34375,1534.1500244140625
1527979487.247,,451.54900002479553,0,,,,,<itemEquip.itemEquip object at 0x000001600893B9E8>,,,,,,,0.0,,,1527979487.247,Foot,,,,243231.890625,359948.34375,1534.1500244140625
1527979487.248,,451.5499999523163,0,Item_Weapon_UMP_C,,,,,<itemPickup.itemPickup object at 0x0000016008C93748>,,,,,,0.0,,,1527979487.248,Foot,,,,243231.890625,359948.34375,1534.1500244140625
1527979487.95,,452.2520000934601,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008C93828>,,,,,,0.0,,,1527979487.95,Foot,,,,243231.890625,359948.34375,1534.1500244140625
1527979488.557,,452.8589999675751,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008C93978>,,,,,,0.0,,,1527979488.557,Foot,,,,243231.890625,359948.34375,1534.1500244140625
1527979492.204,,456.50600004196167,0,Item_Attach_Weapon_Upper_CQBSS_C,,,,,<itemPickup.itemPickup object at 0x0000016008C93C88>,,,,,,0.0,,,1527979492.204,Foot,,,,243231.890625,359948.34375,1534.1500244140625
1527979492.775,,457.0770001411438,0,Item_Heal_Bandage_C,,,,,<itemPickup.itemPickup object at 0x0000016008C93CF8>,,,,,,0.0,,,1527979492.775,Foot,,,,243231.890625,359948.34375,1534.1500244140625
1527979492.912,,457.21399998664856,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600951AB70>,,0.0,,,1527979492.912,Foot,,,,243231.890625,359948.34375,1534.1500244140625
1527979502.893,,467.1949999332428,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600951F5F8>,,0.0,,,1527979502.893,Foot,,,,243337.53125,359643.5,1534.1500244140625
1527979512.895,,477.1970000267029,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600951F128>,,0.0,,,1527979512.895,Foot,,,,241421.890625,359340.59375,1498.3099365234375
1527979522.899,,487.20099997520447,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009525B70>,,0.0,,,1527979522.899,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979525.7,,490.0020000934601,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008C9E898>,,,,,,0.0,,,1527979525.7,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979525.701,,490.00300002098083,0,,,,<itemDrop.itemDrop object at 0x00000160088411D0>,,,,,,,,0.0,,,1527979525.701,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979525.7010999,,490.0030999183655,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008ABF0B8>,,,,,0.0,,,1527979525.7010999,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979526.481,,490.7829999923706,0,,,,<itemDrop.itemDrop object at 0x0000016008841208>,,,,,,,,0.0,,,1527979526.481,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979527.951,,492.25300002098083,0,,,,,<itemEquip.itemEquip object at 0x000001600893B048>,,,,,,,0.0,,,1527979527.951,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979527.952,,492.2539999485016,0,Item_Weapon_HK416_C,,,,,<itemPickup.itemPickup object at 0x0000016008C9EA58>,,,,,,0.0,,,1527979527.952,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979529.026,,493.32800006866455,0,Item_Ammo_556mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008C9EBA8>,,,,,,0.0,,,1527979529.026,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979530.944,,495.2460000514984,0,Item_Attach_Weapon_Upper_Holosight_C,,,,,<itemPickup.itemPickup object at 0x0000016008C9ECF8>,,,,,,0.0,,,1527979530.944,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979532.896,,497.19799995422363,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160095295C0>,,0.0,,,1527979532.896,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979533.324,,497.62599992752075,0,,<itemAttach.itemAttach object at 0x00000160086982E8>,,,,,,,,,,0.0,,,1527979533.324,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979535.908,,500.210000038147,0,,<itemAttach.itemAttach object at 0x0000016008698588>,,,,,,,,,,0.0,,,1527979535.908,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979542.179,,506.48099994659424,0,Item_Heal_Bandage_C,,,,,<itemPickup.itemPickup object at 0x0000016008CA2F98>,,,,,,0.0,,,1527979542.179,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979542.912,,507.21399998664856,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160095291D0>,,0.0,,,1527979542.912,Foot,,,,240740.03125,359524.90625,1498.3099365234375
1527979551.835,,516.1370000839233,0,Item_Heal_FirstAid_C,,,,,<itemPickup.itemPickup object at 0x0000016008CA7BA8>,,,,,,0.0,,,1527979551.835,Foot,,,,240997.390625,360186.75,1498.3099365234375
1527979552.908,,517.210000038147,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600952EA90>,,0.0,,,1527979552.908,Foot,,,,240753.25,360271.78125,1498.3099365234375
1527979562.883,,527.1849999427795,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160095324E0>,,0.0,,,1527979562.883,Foot,,,,240869.140625,360257.28125,1498.3099365234375
1527979572.893,,537.1949999332428,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009532EB8>,,0.0,,,1527979572.893,Foot,,,,234872.296875,360115.1875,909.7999877929688
1527979582.906,,547.2079999446869,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009539898>,,0.0,,,1527979582.906,Foot,,,,229189.46875,362428.1875,1250.469970703125
1527979592.882,,557.1840000152588,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600953C2B0>,,0.0,,,1527979592.882,Foot,,,,224508.296875,363736.84375,1642.489990234375
1527979592.915,,557.2170000076294,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x000001600855AAC8>,,,,,,0.0,,,1527979592.915,Foot,,,,224508.296875,363736.84375,1642.489990234375
1527979597.996,,562.2980000972748,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x000001600855AE48>,,,,,,0.0,,,1527979597.996,Foot,,,,223794.140625,363522.46875,1675.969970703125
1527979602.92,,567.2220001220703,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600953CC18>,,0.0,,,1527979602.92,Foot,,,,224194.03125,363551.75,1692.0299072265625
1527979612.901,,577.2030000686646,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160095415F8>,,0.0,,,1527979612.901,Foot,,,,220260.140625,365339.71875,1644.0599365234375
1527979622.884,,587.1860001087189,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009541F60>,,0.0,,,1527979622.884,Foot,,,,217359.171875,364988.78125,1671.5899658203125
1527979624.749,,589.0510001182556,0,,<itemAttach.itemAttach object at 0x00000160086A36D8>,,,,,,,,,,0.0,,,1527979624.749,Foot,,,,217172.453125,364868.84375,1666.14990234375
1527979624.7491,,589.0511000156403,0,Item_Attach_Weapon_Lower_AngledForeGrip_C,,,,,<itemPickup.itemPickup object at 0x00000160085BB0F0>,,,,,,0.0,,,1527979624.7491,Foot,,,,217172.453125,364868.84375,1666.14990234375
1527979628.843,,593.1449999809265,0,Item_Weapon_SmokeBomb_C,,,,,<itemPickup.itemPickup object at 0x000001600859E3C8>,,,,,,0.0,,,1527979628.843,Foot,,,,217031.46875,364751.625,1666.14990234375
1527979632.914,,597.2160000801086,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160095478D0>,,0.0,,,1527979632.914,Foot,,,,216856.3125,365255.125,1666.14990234375
1527979642.89,,607.1920001506805,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600954C278>,,0.0,,,1527979642.89,Foot,,,,217492.234375,365377.78125,1666.14990234375
1527979652.895,,617.1970000267029,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600954CBE0>,,0.0,,,1527979652.895,Foot,,,,217036.8125,365019.84375,2016.1199951171875
1527979662.899,,627.2009999752045,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160095505C0>,,0.0,,,1527979662.899,Foot,,,,216880.453125,365681.21875,1988.14990234375
1527979672.909,,637.2109999656677,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009550EF0>,,0.0,,,1527979672.909,Foot,,,,213567.328125,366250.0,1678.14990234375
1527979677.186,,641.4880001544952,0,Item_Weapon_FlashBang_C,,,,,<itemPickup.itemPickup object at 0x00000160085ECCF8>,,,,,,0.0,,,1527979677.186,Foot,,,,212914.515625,366503.3125,1678.14990234375
1527979678.595,,642.8970000743866,0,,<itemAttach.itemAttach object at 0x00000160086AA8D0>,,,,,,,,,,0.0,,,1527979678.595,Foot,,,,212914.515625,366503.3125,1678.14990234375
1527979678.5951,,642.8970999717712,0,Item_Attach_Weapon_Lower_LightweightForeGrip_C,,,,,<itemPickup.itemPickup object at 0x00000160085ECDD8>,,,,,,0.0,,,1527979678.5951,Foot,,,,212914.515625,366503.3125,1678.14990234375
1527979682.898,,647.2000000476837,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009554860>,,0.0,,,1527979682.898,Foot,,,,212725.734375,365568.625,1678.14990234375
1527979687.472,,651.7739999294281,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x00000160085DB6D8>,,,,,,0.0,,,1527979687.472,Foot,,,,213067.109375,366142.1875,1678.14990234375
1527979690.903,,655.2050001621246,0,Item_Ammo_556mm_C,,,,,<itemPickup.itemPickup object at 0x00000160085DB978>,,,,,,0.0,,,1527979690.903,Foot,,,,213362.59375,366718.34375,1678.14990234375
1527979692.331,,656.6330001354218,0,,<itemAttach.itemAttach object at 0x00000160086AA0F0>,,,,,,,,,,0.0,,,1527979692.331,Foot,,,,213362.59375,366718.34375,1678.14990234375
1527979692.332,,656.6340000629425,0,Item_Attach_Weapon_Magazine_QuickDraw_Medium_C,,,,,<itemPickup.itemPickup object at 0x00000160085DBB38>,,,,,,0.0,,,1527979692.332,Foot,,,,213362.59375,366718.34375,1678.14990234375
